case_id,customer_id,card_id,opened_at,closed_at,outcome,pattern,first_fraud_txn_id,txn_ids,n_txns,exposure_usd,connected_card_ids,actions_taken,report_filed,analyst_notes
CC-0025,C12311,C12311-K2,2016-07-03 23:24:56,2016-07-05 15:24:56,confirmed_fraud,account_takeover,3003546.0,3003546,1,100.0,,CREATE_CASE|BLOCK_CARD,No,Case CC-0025: cardholder C12311 reported unrecognized activity on card C12311-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $100.00 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0026,C08842,C08842-K2,2016-07-03 23:36:27,2016-07-05 18:36:27,cleared,none,,3004354,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0026: model scored a $200.07 transaction at 0.99. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0027,C02999,C02999-K2,2016-07-04 00:21:14,2016-07-05 16:21:14,confirmed_fraud,account_takeover,3003757.0,3003757,1,59.06,,CREATE_CASE|BLOCK_CARD,No,Case CC-0027: cardholder C02999 reported unrecognized activity on card C02999-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $59.06 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0028,C07741,C07741-K2,2016-07-04 00:40:19,2016-07-07 15:40:19,confirmed_fraud,card_not_present_fraud,3003607.0,3003607,1,250.04,,CREATE_CASE|BLOCK_CARD,No,Case CC-0028: cardholder C07741 reported unrecognized activity on card C07741-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $250.04 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a SAMSUNG SM-J327T Build/NRD90M on samsung browser 6.2. Card blocked and reissued. Customer reimbursed.
CC-0029,C03277,C03277-K1,2016-07-04 00:43:03,2016-07-06 00:43:03,confirmed_fraud,card_not_present_new_device,3000150.0,3000150|3002210|3002242,3,600.08,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0029: cardholder C03277 reported unrecognized activity on card C03277-K1. 3 transaction(s) between 2016-07-02 and 2016-07-03 totaling $600.08 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a MacOS on safari generic. Card blocked and reissued. Customer reimbursed."
CC-0030,C04762,C04762-K1,2016-07-04 00:57:01,2016-07-07 16:57:01,confirmed_fraud,out_of_region_use,3003913.0,3003913,1,59.01,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0030: cardholder C04762 reported unrecognized activity on card C04762-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $59.01 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0031,C11923,C11923-K2,2016-07-04 01:23:36,2016-07-07 22:23:36,confirmed_fraud,card_not_present_new_device,3001820.0,3001820,1,20.36,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0031: cardholder C11923 reported unrecognized activity on card C11923-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $20.36 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a Trident/7.0 on ie 11.0 for desktop. Card blocked and reissued. Customer reimbursed."
CC-0032,C09289,C09289-K1,2016-07-04 02:02:25,2016-07-05 22:02:25,cleared,none,,3005276,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0032: model scored a $100.01 transaction at 0.85. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0033,C05704,C05704-K2,2016-07-04 02:32:22,2016-07-08 23:32:22,confirmed_fraud,account_takeover,3001937.0,3001937|3001952|3001999,3,374.83,,CREATE_CASE|BLOCK_CARD,No,Case CC-0033: cardholder C05704 reported unrecognized activity on card C05704-K2. 3 transaction(s) between 2016-07-02 and 2016-07-02 totaling $374.83 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.
CC-0034,C03880,C03880-K1,2016-07-04 02:48:44,2016-07-05 00:48:44,cleared,none,,3005972,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,"Case CC-0034: model scored a $1,486.49 transaction at 0.89. Cardholder confirmed the purchase. Amount unusual for this customer but consistent with their stated intent. Alert cleared."
CC-0035,C09196,C09196-K1,2016-07-04 03:40:55,2016-07-08 20:40:55,confirmed_fraud,card_not_present_fraud,3004895.0,3004895,1,150.05,,CREATE_CASE|BLOCK_CARD,No,Case CC-0035: cardholder C09196 reported unrecognized activity on card C09196-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $150.05 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.
CC-0036,C03738,C03738-K2,2016-07-04 04:15:53,2016-07-06 14:15:53,confirmed_fraud,account_takeover,3003325.0,3003325,1,137.01,,CREATE_CASE|BLOCK_CARD,No,Case CC-0036: cardholder C03738 reported unrecognized activity on card C03738-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $137.01 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0037,C05996,C05996-K1,2016-07-04 04:29:21,2016-07-07 03:29:21,cleared,none,,3006461,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0037: model scored a $31.38 transaction at 0.84. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0038,C02717,C02717-K1,2016-07-04 05:10:48,2016-07-07 02:10:48,cleared,none,,3006275,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0038: model scored a $200.01 transaction at 0.86. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0039,C13061,C13061-K1,2016-07-04 05:52:18,2016-07-08 19:52:18,confirmed_fraud,account_takeover,3004695.0,3004695,1,170.93,,CREATE_CASE|BLOCK_CARD,No,Case CC-0039: cardholder C13061 reported unrecognized activity on card C13061-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $170.93 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0040,C08675,C08675-K1,2016-07-04 06:10:07,2016-07-05 03:10:07,cleared,none,,3006416,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0040: model scored a $49.97 transaction at 0.90. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.
CC-0041,C07648,C07648-K2,2016-07-04 06:39:11,2016-07-07 16:39:11,confirmed_fraud,out_of_region_use,3003842.0,3003842,1,75.03,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0041: cardholder C07648 reported unrecognized activity on card C07648-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $75.03 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0042,C12094,C12094-K2,2016-07-04 07:37:59,2016-07-05 02:37:59,cleared,none,,3006354,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0042: model scored a $49.95 transaction at 0.91. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0043,C10164,C10164-K1,2016-07-04 08:03:02,2016-07-09 07:03:02,confirmed_fraud,out_of_region_use,3002981.0,3002981,1,87.01,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0043: cardholder C10164 reported unrecognized activity on card C10164-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $87.01 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0044,C06147,C06147-K2,2016-07-04 09:49:26,2016-07-05 22:49:26,confirmed_fraud,out_of_region_use,3005476.0,3005476,1,13.33,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0044: cardholder C06147 reported unrecognized activity on card C06147-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $13.33 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0045,C07212,C07212-K2,2016-07-04 10:11:50,2016-07-05 22:11:50,confirmed_fraud,out_of_region_use,3001632.0,3001632|3002781|3003811|3005310,4,1282.82,,CREATE_CASE|BLOCK_CARD|FILE_REPORT,Yes,"Case CC-0045: cardholder C07212 reported unrecognized activity on card C07212-K2. 4 transaction(s) between 2016-07-02 and 2016-07-03 totaling $1,282.82 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0046,C01579,C01579-K1,2016-07-04 10:37:34,2016-07-08 04:37:34,confirmed_fraud,card_not_present_new_device,3002840.0,3002840,1,10.04,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0046: cardholder C01579 reported unrecognized activity on card C01579-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $10.04 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a KFFOWI Build/LVY48F on chrome generic. Card blocked and reissued. Customer reimbursed."
CC-0047,C03108,C03108-K1,2016-07-04 11:05:08,2016-07-08 20:05:08,confirmed_fraud,card_not_present_fraud,3002820.0,3002820|3002828|3004711|3004734|3004746,5,50.05,,CREATE_CASE|BLOCK_CARD,No,Case CC-0047: cardholder C03108 reported unrecognized activity on card C03108-K1. 5 transaction(s) between 2016-07-03 and 2016-07-03 totaling $50.05 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a KFFOWI Build/LVY48F on chrome generic. Card blocked and reissued. Customer reimbursed.
CC-0048,C11309,C11309-K1,2016-07-04 11:15:59,2016-07-06 03:15:59,confirmed_fraud,card_not_present_fraud,3006432.0,3006432,1,149.96,,CREATE_CASE|BLOCK_CARD,No,Case CC-0048: cardholder C11309 reported unrecognized activity on card C11309-K1. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $149.96 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a iOS Device on mobile safari 9.0. Card blocked and reissued. Customer reimbursed.
CC-0049,C01638,C01638-K1,2016-07-04 11:25:48,2016-07-07 20:25:48,confirmed_fraud,card_not_present_fraud,3004818.0,3004818|3004823,2,399.95,,CREATE_CASE|BLOCK_CARD,No,Case CC-0049: cardholder C01638 reported unrecognized activity on card C01638-K1. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $399.95 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on firefox 57.0. Card blocked and reissued. Customer reimbursed.
CC-0050,C09221,C09221-K2,2016-07-04 13:08:31,2016-07-06 01:08:31,confirmed_fraud,out_of_region_use,3006044.0,3006044,1,48.01,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0050: cardholder C09221 reported unrecognized activity on card C09221-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $48.01 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0051,C05976,C05976-K1,2016-07-04 14:46:15,2016-07-07 10:46:15,confirmed_fraud,account_takeover,3006772.0,3006772|3006774,2,177.02,,CREATE_CASE|BLOCK_CARD,No,Case CC-0051: cardholder C05976 reported unrecognized activity on card C05976-K1. 2 transaction(s) between 2016-07-04 and 2016-07-04 totaling $177.02 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0052,C11595,C11595-K1,2016-07-04 15:45:08,2016-07-05 20:45:08,confirmed_fraud,card_not_present_fraud,3004914.0,3004914,1,52.36,,CREATE_CASE|BLOCK_CARD,No,Case CC-0052: cardholder C11595 reported unrecognized activity on card C11595-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $52.36 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.
CC-0053,C02000,C02000-K2,2016-07-04 17:06:12,2016-07-06 06:06:12,confirmed_fraud,out_of_region_use,3006690.0,3006690,1,774.08,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0053: cardholder C02000 reported unrecognized activity on card C02000-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $774.08 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-0054,C05736,C05736-K1,2016-07-04 17:29:18,2016-07-07 20:29:18,confirmed_fraud,card_not_present_fraud,3004838.0,3004838,1,60.71,,CREATE_CASE|BLOCK_CARD,No,Case CC-0054: cardholder C05736 reported unrecognized activity on card C05736-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $60.71 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Y635-L03 Build/HuaweiY635-L03 on chrome 62.0 for android. Card blocked and reissued. Customer reimbursed.
CC-0055,C04248,C04248-K2,2016-07-04 18:17:23,2016-07-06 00:17:23,confirmed_fraud,card_not_present_fraud,3005851.0,3005851,1,83.69,,CREATE_CASE|BLOCK_CARD,No,Case CC-0055: cardholder C04248 reported unrecognized activity on card C04248-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $83.69 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.
CC-0056,C13171,C13171-K2,2016-07-04 18:17:38,2016-07-06 15:17:38,confirmed_fraud,card_not_present_new_device,3003521.0,3003521,1,40.21,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0056: cardholder C13171 reported unrecognized activity on card C13171-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $40.21 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Card blocked and reissued. Customer reimbursed."
CC-0057,C12598,C12598-K2,2016-07-04 18:42:19,2016-07-06 02:42:19,confirmed_fraud,account_takeover,3006366.0,3006366,1,108.42,,CREATE_CASE|BLOCK_CARD,No,Case CC-0057: cardholder C12598 reported unrecognized activity on card C12598-K2. 1 transaction(s) between 2016-07-04 and 2016-07-04 totaling $108.42 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-0058,C03412,C03412-K1,2016-07-04 18:53:38,2016-07-05 15:53:38,cleared,none,,3007307,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0058: model scored a $99.99 transaction at 0.88. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0059,C09165,C09165-K2,2016-07-04 19:05:35,2016-07-06 23:05:35,confirmed_fraud,card_not_present_new_device,3000904.0,3000904|3001479|3005523|3005542,4,185.01,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0059: cardholder C09165 reported unrecognized activity on card C09165-K2. 4 transaction(s) between 2016-07-02 and 2016-07-03 totaling $185.01 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Card blocked and reissued. Customer reimbursed."
CC-0060,C03348,C03348-K1,2016-07-04 19:18:54,2016-07-06 14:18:54,confirmed_fraud,card_not_present_fraud,3003331.0,3003331|3003334,2,899.98,,CREATE_CASE|BLOCK_CARD,No,Case CC-0060: cardholder C03348 reported unrecognized activity on card C03348-K1. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $899.98 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.
CC-0061,C03699,C03699-K1,2016-07-04 19:51:11,2016-07-06 13:51:11,cleared,none,,3006964,1,0.0,,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,No,Case CC-0061: model scored a $99.97 transaction at 0.86. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0062,C07867,C07867-K2,2016-07-04 20:30:28,2016-07-06 08:30:28,confirmed_fraud,out_of_region_use,3003096.0,3003096|3003109|3003149|3006742,4,526.98,,CREATE_CASE|BLOCK_CARD,No,"Case CC-0062: cardholder C07867 reported unrecognized activity on card C07867-K2. 4 transaction(s) between 2016-07-03 and 2016-07-04 totaling $526.98 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
